Date,Confirmed,Deaths,Recovered,Active
2020-04-03,2567,72,192,2303
2020-04-04,3082,86,229,2767
2020-04-05,3588,99,229,3260
2020-04-06,4778,136,375,4267
2020-04-07,5311,150,421,4740
2020-04-08,5916,178,506,5232
2020-04-09,6725,226,620,5879
2020-04-10,7598,246,774,6578
2020-04-11,8446,288,969,7189
2020-04-12,9205,331,1080,7794
2020-04-13,10453,358,1181,8914
2020-04-14,11487,393,1359,9735
2020-04-15,12322,405,1432,10485
2020-04-16,13430,448,1768,11214
2020-04-17,14352,486,2041,11825
2020-04-18,15722,521,2463,12738
2020-04-19,17615,559,2854,14202
2020-04-20,18539,592,3273,14674
2020-04-21,20080,645,3975,15460
2020-04-22,21370,681,4370,16319
2020-04-23,23077,721,5012,17344
2020-04-24,24530,780,5498,18252
2020-04-25,26283,825,5939,19519
2020-04-26,27890,881,6523,20486
2020-04-27,29451,939,7137,21375
2020-04-28,31324,1008,7747,22569
2020-04-29,33062,1079,8437,23546
2020-04-30,34863,1154,9068,24641
2020-05-01,37257,1223,10007,26027
2020-05-02,39699,1323,10819,27557
2020-05-03,42505,1391,11775,29339
2020-05-04,46437,1566,12847,32024
2020-05-05,49400,1693,14142,33565
2020-05-06,52987,1785,15331,35871
2020-05-07,56351,1889,16776,37686
2020-05-08,59695,1985,17887,39823
2020-05-09,62808,2101,19301,41406
2020-05-10,67161,2212,20969,43980
2020-05-11,70768,2294,22549,45925
2020-05-12,74292,2415,24420,47457
2020-05-13,78055,2551,26400,49104
2020-05-14,81997,2649,27969,51379
2020-05-15,85784,2753,30258,52773
2020-05-16,90648,2871,34224,53553
2020-05-17,95698,3025,36795,55878
2020-05-18,100328,3156,39233,57939
2020-05-19,106475,3302,42309,60864
2020-05-20,112028,3434,45422,63172
2020-05-21,118226,3584,48553,66089
2020-05-22,124794,3726,51824,69244
2020-05-23,131423,3868,54385,73170
2020-05-24,138536,4024,57692,76820
2020-05-25,144950,4172,60706,80072
2020-05-26,150793,4344,64277,82172
2020-05-27,158086,4534,67749,85803
2020-05-28,165386,4711,70920,89755
2020-05-29,173491,4980,82627,85884
2020-05-30,181827,5185,86936,89706
2020-05-31,190609,5408,91852,93349
2020-06-01,198370,5608,95754,97008
2020-06-02,207191,5829,100285,101077
2020-06-03,216824,6088,104071,106665
2020-06-04,226713,6363,108450,111900
2020-06-05,236184,6649,113233,116302
2020-06-06,246622,6946,118695,120981
2020-06-07,257486,7207,123848,126431
2020-06-08,265928,7473,129095,129360
2020-06-09,276146,7750,134670,133726
2020-06-10,286605,8102,135206,143297
2020-06-11,297535,8498,147195,141842
2020-06-12,308993,8884,154330,145779
2020-06-13,320922,9195,162379,149348
2020-06-14,332424,9520,169798,153106
2020-06-15,343091,9900,180013,153178
2020-06-16,354065,11903,186935,155227
2020-06-17,366946,12237,194325,160384
2020-06-18,380532,12573,204711,163248
2020-06-19,395048,12948,213831,168269
2020-06-20,410451,13254,227728,169469
2020-06-21,425282,13699,237196,174387
2020-06-22,440215,14011,248190,178014
2020-06-23,456183,14476,258685,183022
2020-06-24,473105,14894,271697,186514
2020-06-25,490401,15301,285637,189463
2020-06-26,508953,15685,295881,197387
2020-06-27,528859,16095,309713,203051
2020-06-28,548318,16475,321723,210120
2020-06-29,566840,16893,334822,215125
2020-06-30,585481,17400,347912,220169
2020-07-01,604641,17834,359860,226947
2020-07-02,625544,18213,379892,227439
2020-07-03,648315,18655,394227,235433
2020-07-04,673165,19268,409083,244814
2020-07-05,697413,19693,424433,253287
2020-07-06,719664,20159,439934,259571
2020-07-07,742417,20642,456831,264944
2020-07-08,767296,21129,476378,269789
2020-07-09,793802,21604,495513,276685
2020-07-10,820916,22123,515386,283407
2020-07-11,849522,22673,534618,292231
2020-07-12,878254,23174,553471,301609
2020-07-13,906752,23727,571460,311565
2020-07-14,936181,24309,592032,319840
2020-07-15,968857,24914,612768,331175
2020-07-16,1003832,25602,635757,342473
2020-07-17,1039084,26273,653751,359060
2020-07-18,1077781,26816,677423,373542
2020-07-19,1118206,27497,700087,390622
2020-07-20,1155338,28082,724578,402678
2020-07-21,1193078,28732,753050,411296
2020-07-22,1238798,29861,782607,426330
2020-07-23,1288108,30601,817209,440298
2020-07-24,1337024,31358,849432,456234
2020-07-25,1385635,32060,885573,468002
2020-07-26,1435616,32771,917568,485277
2020-07-27,1480073,33408,951166,495499
