Date,Confirmed,Deaths,Recovered,Active,New_Cases,MA7
2020-04-09,6725,226,620,5879,809.0,802.4285714285713
2020-04-10,7598,246,774,6578,873.0,810.7142857142858
2020-04-11,8446,288,969,7189,848.0,882.2857142857143
2020-04-12,9205,331,1080,7794,759.0,915.1428571428571
2020-04-13,10453,358,1181,8914,1248.0,957.8571428571427
2020-04-14,11487,393,1359,9735,1034.0,964.8571428571428
2020-04-15,12322,405,1432,10485,835.0,1039.428571428571
2020-04-16,13430,448,1768,11214,1108.0,1201.4285714285713
2020-04-17,14352,486,2041,11825,922.0,1155.142857142857
2020-04-18,15722,521,2463,12738,1370.0,1227.5714285714284
2020-04-19,17615,559,2854,14202,1893.0,1292.5714285714284
2020-04-20,18539,592,3273,14674,924.0,1378.142857142857
2020-04-21,20080,645,3975,15460,1541.0,1454.0
2020-04-22,21370,681,4370,16319,1290.0,1508.7142857142856
2020-04-23,23077,721,5012,17344,1707.0,1467.8571428571427
2020-04-24,24530,780,5498,18252,1453.0,1558.8571428571427
2020-04-25,26283,825,5939,19519,1753.0,1606.2857142857142
2020-04-26,27890,881,6523,20486,1607.0,1670.2857142857142
2020-04-27,29451,939,7137,21375,1561.0,1683.7142857142856
2020-04-28,31324,1008,7747,22569,1873.0,1818.142857142857
2020-04-29,33062,1079,8437,23546,1738.0,1916.5714285714284
2020-04-30,34863,1154,9068,24641,1801.0,2087.8571428571427
2020-05-01,37257,1223,10007,26027,2394.0,2426.5714285714284
2020-05-02,39699,1323,10819,27557,2442.0,2582.285714285714
2020-05-03,42505,1391,11775,29339,2806.0,2846.4285714285716
2020-05-04,46437,1566,12847,32024,3932.0,3069.714285714286
2020-05-05,49400,1693,14142,33565,2963.0,3205.428571428571
2020-05-06,52987,1785,15331,35871,3587.0,3301.285714285714
2020-05-07,56351,1889,16776,37686,3364.0,3522.285714285714
2020-05-08,59695,1985,17887,39823,3344.0,3475.8571428571427
2020-05-09,62808,2101,19301,41406,3113.0,3556.0
2020-05-10,67161,2212,20969,43980,4353.0,3581.142857142857
2020-05-11,70768,2294,22549,45925,3607.0,3663.7142857142853
2020-05-12,74292,2415,24420,47457,3524.0,3727.0
2020-05-13,78055,2551,26400,49104,3763.0,3977.1428571428564
2020-05-14,81997,2649,27969,51379,3942.0,4076.714285714286
2020-05-15,85784,2753,30258,52773,3787.0,4222.857142857142
2020-05-16,90648,2871,34224,53553,4864.0,4597.571428571428
2020-05-17,95698,3025,36795,55878,5050.0,4853.285714285714
2020-05-18,100328,3156,39233,57939,4630.0,5175.571428571428
2020-05-19,106475,3302,42309,60864,6147.0,5572.857142857143
2020-05-20,112028,3434,45422,63172,5553.0,5825.0
2020-05-21,118226,3584,48553,66089,6198.0,6119.714285714284
2020-05-22,124794,3726,51824,69244,6568.0,6374.5714285714275
2020-05-23,131423,3868,54385,73170,6629.0,6331.142857142856
2020-05-24,138536,4024,57692,76820,7113.0,6579.714285714285
2020-05-25,144950,4172,60706,80072,6414.0,6737.142857142858
2020-05-26,150793,4344,64277,82172,5843.0,6956.714285714286
2020-05-27,158086,4534,67749,85803,7293.0,7200.571428571429
2020-05-28,165386,4711,70920,89755,7300.0,7439.000000000001
2020-05-29,173491,4980,82627,85884,8105.0,7631.428571428572
2020-05-30,181827,5185,86936,89706,8336.0,8056.857142857142
2020-05-31,190609,5408,91852,93349,8782.0,8391.142857142857
2020-06-01,198370,5608,95754,97008,7761.0,8761.0
2020-06-02,207191,5829,100285,101077,8821.0,8956.142857142855
2020-06-03,216824,6088,104071,106665,9633.0,9256.42857142857
2020-06-04,226713,6363,108450,111900,9889.0,9553.857142857141
2020-06-05,236184,6649,113233,116302,9471.0,9651.142857142857
2020-06-06,246622,6946,118695,120981,10438.0,9850.714285714286
2020-06-07,257486,7207,123848,126431,10864.0,9968.714285714284
2020-06-08,265928,7473,129095,129360,8442.0,10117.42857142857
2020-06-09,276146,7750,134670,133726,10218.0,10401.285714285714
2020-06-10,286605,8102,135206,143297,10459.0,10614.285714285714
2020-06-11,297535,8498,147195,141842,10930.0,10705.42857142857
2020-06-12,308993,8884,154330,145779,11458.0,11023.285714285714
2020-06-13,320922,9195,162379,149348,11929.0,11131.285714285714
2020-06-14,332424,9520,169798,153106,11502.0,11477.285714285714
2020-06-15,343091,9900,180013,153178,10667.0,11856.714285714286
2020-06-16,354065,11903,186935,155227,10974.0,12293.57142857143
2020-06-17,366946,12237,194325,160384,12881.0,12789.857142857141
2020-06-18,380532,12573,204711,163248,13586.0,13265.42857142857
2020-06-19,395048,12948,213831,168269,14516.0,13874.857142857141
2020-06-20,410451,13254,227728,169469,15403.0,14588.285714285714
2020-06-21,425282,13699,237196,174387,14831.0,15165.571428571428
2020-06-22,440215,14011,248190,178014,14933.0,15695.571428571428
2020-06-23,456183,14476,258685,183022,15968.0,16272.142857142855
2020-06-24,473105,14894,271697,186514,16922.0,16915.42857142857
2020-06-25,490401,15301,285637,189463,17296.0,17576.571428571428
2020-06-26,508953,15685,295881,197387,18552.0,18089.285714285714
2020-06-27,528859,16095,309713,203051,19906.0,18471.142857142855
2020-06-28,548318,16475,321723,210120,19459.0,18790.857142857145
2020-06-29,566840,16893,334822,215125,18522.0,19306.142857142855
2020-06-30,585481,17400,347912,220169,18641.0,19908.85714285714
2020-07-01,604641,17834,359860,226947,19160.0,20615.142857142855
2020-07-02,625544,18213,379892,227439,20903.0,21299.285714285714
2020-07-03,648315,18655,394227,235433,22771.0,21832.0
2020-07-04,673165,19268,409083,244814,24850.0,22419.428571428572
2020-07-05,697413,19693,424433,253287,24248.0,23236.428571428572
2020-07-06,719664,20159,439934,259571,22251.0,24036.857142857145
2020-07-07,742417,20642,456831,264944,22753.0,24657.285714285714
2020-07-08,767296,21129,476378,269789,24879.0,25193.85714285714
2020-07-09,793802,21604,495513,276685,26506.0,25834.42857142857
2020-07-10,820916,22123,515386,283407,27114.0,26726.857142857138
2020-07-11,849522,22673,534618,292231,28606.0,27680.571428571428
2020-07-12,878254,23174,553471,301609,28732.0,28794.428571428565
2020-07-13,906752,23727,571460,311565,28498.0,30004.285714285714
2020-07-14,936181,24309,592032,319840,29429.0,31166.857142857145
2020-07-15,968857,24914,612768,331175,32676.0,32608.428571428572
2020-07-16,1003832,25602,635757,342473,34975.0,34278.857142857145
2020-07-17,1039084,26273,653751,359060,35252.0,35512.28571428571
2020-07-18,1077781,26816,677423,373542,38697.0,36699.57142857143
2020-07-19,1118206,27497,700087,390622,40425.0,38563.0
2020-07-20,1155338,28082,724578,402678,37132.0,40610.857142857145
2020-07-21,1193078,28732,753050,411296,37740.0,42562.857142857145
2020-07-22,1238798,29861,782607,426330,45720.0,43979.14285714286
2020-07-23,1288108,30601,817209,440298,49310.0,45344.28571428571
2020-07-24,1337024,31358,849432,456234,48916.0,46390.71428571428
2020-07-25,1385635,32060,885573,468002,48611.0,40999.28571428571
2020-07-26,1435616,32771,917568,485277,49981.0,34467.85714285714
2020-07-27,1480073,33408,951166,495499,44457.0,27423.571428571428
